,staff01_notes,staff01_durations,staff02_notes,staff02_durations
0,[70  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
1,[71  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
2,[69  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
3,[73  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
4,[72  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
5,[69  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
6,[73  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
7,[77  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
8,[89  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
9,[88  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
10,[86  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
11,[84  0  0  0  0],"['1/8', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
12,[89  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
13,[88  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
14,[86  0  0  0  0],"['1/4', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
15,[0 0 0 0 0],"[0, 0, 0, 0, 0]",[55 59  0  0  0],"['1/8', '1/8', 0, 0, 0]"
16,[0 0 0 0 0],"[0, 0, 0, 0, 0]",[50 54 57 60  0],"['1/16', '3/16', '1/8', '1/8', 0]"
17,[67 70 74 79  0],"['1/16', '1/8', '3/16', '1/4', 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
18,[63 67 70 75  0],"['1/8', '1/16', '1/8', '1/8', 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
19,[68 72 75 80  0],"['1/2', '1/16', '1/8', '1/16', 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
20,[70 75 82  0  0],"['1/16', '1/8', '1/16', 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
21,[0 0 0 0 0],"[0, 0, 0, 0, 0]",[51 56 60  0  0],"['1/8', '1/8', '1/8', 0, 0]"
22,[0 0 0 0 0],"[0, 0, 0, 0, 0]",[44 56  0  0  0],"['1/16', '1/8', 0, 0, 0]"
23,[0 0 0 0 0],"[0, 0, 0, 0, 0]",[56 61 65  0  0],"['1/8', '1/8', '1/8', 0, 0]"
24,[0 0 0 0 0],"[0, 0, 0, 0, 0]",[37 49  0  0  0],"['1/8', '1/8', 0, 0, 0]"
25,[0 0 0 0 0],"[0, 0, 0, 0, 0]",[36 48  0  0  0],"['1/8', '1/8', 0, 0, 0]"
26,[0 0 0 0 0],"[0, 0, 0, 0, 0]",[37 49  0  0  0],"['1/8', '1/8', 0, 0, 0]"
27,[0 0 0 0 0],"[0, 0, 0, 0, 0]",[39 51  0  0  0],"['1/8', '1/8', 0, 0, 0]"
28,[63  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
29,[65  0  0  0  0],"['1/8', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
30,[62  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
31,[63  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
32,[65  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
33,[66  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
34,[69  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
35,[73  0  0  0  0],"['1/8', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
36,[72  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
37,[69  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
38,[73  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
39,[77  0  0  0  0],"['1/8', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
40,[89  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
41,[88  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
