,staff01_notes,staff01_durations,staff02_notes,staff02_durations
0,[68 76  0  0  0],"['3/32', '1/16', 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
1,[0 0 0 0 0],"[0, 0, 0, 0, 0]",[47 59  0  0  0],"['1/8', '3/16', 0, 0, 0]"
2,[70  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
3,[71  0  0  0  0],"['1/2', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
4,[69  0  0  0  0],"['1/32', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
5,[73  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
6,[72  0  0  0  0],"['1/4', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
7,[69  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
8,[73  0  0  0  0],"['1/8', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
9,[74  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
10,[72  0  0  0  0],"['1/8', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
11,[69  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
12,[73  0  0  0  0],"['1/4', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
13,[72  0  0  0  0],"['1/8', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
14,[69  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
15,[72  0  0  0  0],"['1/2', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
16,[62  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
17,[63  0  0  0  0],"['1/8', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
18,[65  0  0  0  0],"['1/4', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
19,[62  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
20,[63  0  0  0  0],"['1/4', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
21,[63  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
22,[65  0  0  0  0],"['1/4', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
23,[62  0  0  0  0],"['1/16', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
24,[69  0  0  0  0],"['1/8', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
25,[73  0  0  0  0],"['1/4', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
26,[72  0  0  0  0],"['1/4', 0, 0, 0, 0]",[0 0 0 0 0],"[0, 0, 0, 0, 0]"
